OnePlus 7 Pro,2,118.37,Qualcomm Snapdragon 855," 6 GB, 8 GB, 12 GB","128 GB, 256 GB","3120x1440 6,67""",Android 9.0 Pie,48+8+16 Mpix,4000 mAh," 3 152,00 zł"
Xiaomi Mi 9,4,247.74,Qualcomm Snapdragon 855,"6 GB, 8 GB",128 GB,"2340x1080 6,39""",Android 9.0 Pie,12+48+16 Mpix,3300 mAh," 1 493,00 zł"
Apple iPhone Xs,6,62.93,Apple A12 Bionic,4 GB,"64 GB, 256 GB, 512 GB","2436x1125 5,8""",iOS 12,12+12 Mpix,2658 mAh," 5 694,00 zł"
Sony Xperia 1,8,87.4,Qualcomm Snapdragon 855,6 GB,"64 GB, 128 GB","1644x3840 6,5""",Android 9.0 Pie,12 Mpix,3330 mAh," 3 999,00 zł"
Apple iPhone Xr,10,92.84,Apple A12 Bionic,3 GB,"64 GB, 128 GB, 256 GB","1792x828 6,1""",iOS 12,12 Mpix,2942 mAh," 3 749,00 zł"
Samsung Galaxy S10+,12,108.09,Samsung Exynos 9820,"8 GB, 12 GB","128, 512, 1000 GB","1800x3200 6,4""",Android 9.0 Pie,12+12+16 Mpix,4100 mAh," 3 045,00 zł"
Samsung Galaxy S10,14,88.73,Samsung Exynos 9 9820,8 GB,"128 GB, 512 GB","3040x1440 6,1""",Android 9.0 Pie,12+12+16 Mpix,3300 mAh," 3 669,00 zł"
Huawei Mate 20 X,16,70.95,Huawei Krin 980,"4 GB, 6 GB, 8 GB","128 GB, 256 GB, 512 GB","2244×1080 7,2""",Android 9.0 Pie,20+40+8 Mpix,5000 mAh," 4 255,00 zł"
Honor View 20,18,137.04,Kirin 980,"6 GB, 8 GB","128 GB, 256 GB","2310x1080 6,4""",Android 9.0 Pie,48 Mpix,4000 mAh," 2 184,00 zł"
Huawei P30,20,146.39,Kirin 980,"6 GB, 8 GB",128 GB,"2340x1080 6,1""",Android 9.0 Pie,40+16+8 Mpix,3650 mAh," 2 035,00 zł"
Xiaomi Pocophone F1,22,204.49,Qualcomm Snapdragon 845,"6 GB, 8 GB","64 GB, 128 GB, 256 GB","2246x1080 6,18""",Android 8.1 Oreo,12+5 Mpix,4000 mAh," 1 450,00 zł"
Huawei Mate 20 Pro,24,143.81,Hisilicon Kirin 980,"6 GB, 8 GB","128 GB, 256 GB","3120x1440 6,4""",Android 9.0,40+20+8 Mpix,4200 mAh," 2 059,00 zł"
Asus ROG Phone,26,99.34,Qualcomm Snapdragon 845,8 GB,"128 GB, 512 GB","2160x1080 6,0""",Android 8.1 Oreo,12+8 Mpix,4000 mAh," 2 969,00 zł"
OnePlus 6T,28,150.63,Qualcomm Snapdragon 845,"6 GB, 8 GB","128 GB, 256 GB","2340x1080 6,41""", Android 9.0 Pie,16+20 Mpix,3700 mAh," 1 949,00 zł"
OnePlus 6,30,153.79,Qualcomm Snapdragon 845,"6 GB, 8 GB","64 GB, 128 GB, 256 GB","2280x1080 6,28""",Android 8.1 Oreo,16+20 Mpix,3300 mAh," 1 899,00 zł"
Xiaomi Mi 8 Pro,32,205.26,Qualcomm Snapdragon 845,"6 GB, 8 GB",128 GB,"2248x1080 6,21""",Android 8.1 Oreo,12+12 Mpix,3000 mAh," 1 399,00 zł"
Meizu 16th,34,143.25,Qualcomm Snapdragon 845,"6 GB, 8 GB","64 GB, 128 GB, 256 GB","2160x1080 6,0""",Android 8.0 Oreo,12+20 Mpix,3010 mAh," 1 999,00 zł"
Razer Phone 2,36,121.09,Qualcomm Snapdragon 845,8 GB,"64 GB, 128 GB","2560x1440 5,72""",Android 8.1 Oreo,12+12 Mpix,4000 mAh," 2 349,00 zł"
Google Pixel 3 XL,38,91.55,Qualcomm Snapdragon 845,4 GB,"64 GB, 128 GB","2960x1440 6,3""",Android 9.0 Pie,12 Mpix,3430 mAh," 3 064,00 zł"
LG V40 ThinQ ,40,106.82,Qualcomm Snapdragon 845,6 GB,"64 GB, 128 GB","3120x1440 6,4""",Android 8.1 Oreo,12+16+12 Mpix,3300 mAh," 2 536,00 zł"
LG G7 ThinQ,42,159.06,Qualcomm Snapdragon 845,4 GB,64 GB,"1440x3120 6,1""",Android 8.0 Oreo,16+16 Mpix,3000 mAh," 1 674,00 zł"
Sony XZ2 Premium,44,118.78,Qualcomm Snapdragon 845,6 GB,64 GB,"3840x2160 5,8""",Android 8.0 Oreo,19+12 Mpix,3540 mAh," 2 185,00 zł"
